engineid,manufacturer,cylinders,displacement,induction,fueltype,valvetype
41,infiniti,10,4.5,Forced Induction,Diesel,DOHC
42,mercedes-benz,12,6.6000000000000005,Naturally Aspirated,Hybrid,SOHC
43,bmw,3,1.2000000000000002,Forced Induction,Hybrid,SOHC
44,saturn,4,1.6,Naturally Aspirated,Diesel,SOHC
45,audi,6,3.3000000000000003,Naturally Aspirated,Gas,SOHC
46,tesla,5,2.0,Naturally Aspirated,Diesel,OHV
47,bmw,9,4.95,Naturally Aspirated,Diesel,SOHC
48,cadillac,10,5.5,Naturally Aspirated,Gas,OHV
49,fiat,4,2.0,Forced Induction,Diesel,OHV
50,ford,5,2.5,Forced Induction,Diesel,DOHC
51,ferrari,9,4.95,Forced Induction,Diesel,DOHC
52,saturn,9,4.95,Naturally Aspirated,Diesel,DOHC
53,volvo,7,3.5,Forced Induction,Gas,DOHC
54,infiniti,9,3.6,Forced Induction,Hybrid,SOHC
55,mitsubishi,3,1.35,Forced Induction,Gas,DOHC
56,buick,9,4.5,Forced Induction,Hybrid,DOHC
57,cadillac,8,4.0,Forced Induction,Gas,OHV
58,toyota,11,6.050000000000001,Naturally Aspirated,Gas,SOHC
59,tesla,11,6.050000000000001,Naturally Aspirated,Hybrid,DOHC
60,porsche,3,1.5,Forced Induction,Diesel,DOHC
61,bmw,4,1.8,Naturally Aspirated,Diesel,OHV
62,buick,9,4.95,Forced Induction,Hybrid,SOHC
63,saturn,8,3.6,Naturally Aspirated,Diesel,OHV
64,subaru,12,4.800000000000001,Naturally Aspirated,Hybrid,OHV
65,jeep,12,4.800000000000001,Naturally Aspirated,Hybrid,OHV
66,buick,3,1.5,Naturally Aspirated,Diesel,DOHC
67,mercury,12,5.4,Naturally Aspirated,Hybrid,SOHC
68,ford,5,2.75,Forced Induction,Gas,DOHC
69,aston-martin,12,6.0,Naturally Aspirated,Hybrid,OHV
70,nissan,7,2.8000000000000003,Forced Induction,Gas,DOHC
71,fiat,12,6.6000000000000005,Forced Induction,Hybrid,DOHC
72,datsun,6,2.4000000000000004,Forced Induction,Gas,OHV
73,audi,10,4.0,Naturally Aspirated,Diesel,SOHC
74,alfa-romeo,7,3.8500000000000005,Naturally Aspirated,Diesel,SOHC
75,aston-martin,6,2.7,Naturally Aspirated,Gas,OHV
76,saturn,3,1.35,Naturally Aspirated,Diesel,OHV
77,ford,6,3.3000000000000003,Naturally Aspirated,Gas,OHV
78,pontiac,3,1.5,Naturally Aspirated,Gas,SOHC
79,volkswagen,8,3.2,Naturally Aspirated,Gas,OHV
80,volkswagen,12,5.4,Forced Induction,Hybrid,OHV
81,aston-martin,4,2.2,Naturally Aspirated,Hybrid,SOHC
82,rover,8,4.0,Forced Induction,Gas,OHV
83,buick,12,6.6000000000000005,Forced Induction,Diesel,DOHC
84,lexus,6,3.0,Forced Induction,Diesel,OHV
85,mercury,10,4.5,Naturally Aspirated,Hybrid,DOHC
86,kia,6,2.4000000000000004,Naturally Aspirated,Hybrid,DOHC
87,harley-davidson,7,3.8500000000000005,Forced Induction,Hybrid,DOHC
88,pontiac,4,1.6,Forced Induction,Hybrid,SOHC
89,audi,4,2.2,Forced Induction,Diesel,DOHC
90,gmc,8,3.2,Forced Induction,Hybrid,OHV
91,volkswagen,10,4.5,Naturally Aspirated,Diesel,SOHC
92,subaru,12,6.0,Forced Induction,Diesel,DOHC
93,chevrolet,8,4.0,Forced Induction,Gas,OHV
94,aston-martin,11,5.5,Forced Induction,Hybrid,OHV
95,audi,6,2.7,Naturally Aspirated,Gas,DOHC
96,mercury,12,4.800000000000001,Forced Induction,Diesel,OHV
97,rover,11,6.050000000000001,Forced Induction,Hybrid,OHV
98,harley-davidson,11,5.5,Naturally Aspirated,Diesel,SOHC
99,dodge,9,4.5,Naturally Aspirated,Gas,OHV
100,audi,11,5.5,Naturally Aspirated,Gas,SOHC
101,ram,5,2.75,Forced Induction,Hybrid,DOHC
102,volkswagen,8,3.2,Forced Induction,Diesel,DOHC
103,tesla,8,4.4,Naturally Aspirated,Gas,SOHC
104,rover,10,5.5,Forced Induction,Gas,SOHC
105,ram,6,3.3000000000000003,Naturally Aspirated,Hybrid,SOHC
106,ferrari,3,1.2000000000000002,Naturally Aspirated,Gas,DOHC
107,gmc,12,5.4,Naturally Aspirated,Diesel,OHV
108,buick,6,2.7,Naturally Aspirated,Gas,DOHC
109,mazda,5,2.5,Naturally Aspirated,Diesel,SOHC
110,datsun,5,2.25,Forced Induction,Gas,DOHC
111,toyota,5,2.75,Forced Induction,Gas,DOHC
112,mitsubishi,4,1.6,Forced Induction,Hybrid,OHV
113,hyundai,5,2.5,Naturally Aspirated,Hybrid,SOHC
114,bmw,4,1.8,Forced Induction,Hybrid,DOHC
115,bmw,4,1.8,Forced Induction,Diesel,SOHC
116,infiniti,3,1.5,Forced Induction,Hybrid,OHV
117,ferrari,4,1.8,Naturally Aspirated,Gas,DOHC
118,alfa-romeo,3,1.35,Forced Induction,Hybrid,DOHC
119,mazda,4,2.2,Naturally Aspirated,Diesel,DOHC
120,fiat,8,4.4,Forced Induction,Gas,OHV
121,hyundai,6,3.0,Naturally Aspirated,Hybrid,SOHC
122,infiniti,7,3.5,Naturally Aspirated,Diesel,DOHC
123,aston-martin,8,4.4,Naturally Aspirated,Gas,SOHC
124,buick,9,4.95,Naturally Aspirated,Hybrid,DOHC
125,aston-martin,7,3.8500000000000005,Naturally Aspirated,Hybrid,DOHC
126,ford,3,1.2000000000000002,Forced Induction,Diesel,DOHC
127,aston-martin,3,1.6500000000000001,Forced Induction,Hybrid,SOHC
128,mazda,10,4.0,Naturally Aspirated,Gas,OHV
129,audi,7,2.8000000000000003,Naturally Aspirated,Gas,DOHC
130,cadillac,9,4.5,Naturally Aspirated,Diesel,SOHC
131,dodge,3,1.2000000000000002,Forced Induction,Diesel,OHV
132,porsche,7,3.15,Naturally Aspirated,Gas,DOHC
133,tesla,4,1.6,Forced Induction,Diesel,OHV
134,jeep,6,2.7,Forced Induction,Gas,SOHC
135,toyota,9,4.5,Naturally Aspirated,Hybrid,OHV
136,volvo,7,3.5,Forced Induction,Gas,OHV
137,mitsubishi,7,3.8500000000000005,Forced Induction,Gas,DOHC
138,porsche,4,1.8,Naturally Aspirated,Hybrid,OHV
139,subaru,4,2.0,Naturally Aspirated,Hybrid,OHV
140,mini,6,2.7,Naturally Aspirated,Diesel,OHV
141,lincoln,7,3.15,Naturally Aspirated,Gas,DOHC
142,ferrari,11,4.4,Naturally Aspirated,Diesel,SOHC
143,bmw,5,2.0,Naturally Aspirated,Diesel,SOHC
144,honda,10,5.5,Forced Induction,Hybrid,OHV
145,chrysler,6,3.3000000000000003,Forced Induction,Hybrid,SOHC
146,mazda,10,5.0,Naturally Aspirated,Hybrid,DOHC
147,acura,6,2.4000000000000004,Forced Induction,Diesel,OHV
148,buick,6,3.3000000000000003,Forced Induction,Hybrid,SOHC
149,chrysler,9,3.6,Forced Induction,Hybrid,OHV
150,rover,7,3.5,Forced Induction,Gas,OHV
151,honda,5,2.5,Forced Induction,Diesel,OHV
152,ford,9,4.05,Forced Induction,Gas,DOHC
153,mercedes-benz,7,3.5,Naturally Aspirated,Hybrid,OHV
154,jeep,3,1.35,Naturally Aspirated,Gas,DOHC
155,ford,3,1.5,Forced Induction,Diesel,OHV
156,cadillac,10,5.5,Naturally Aspirated,Diesel,SOHC
157,chrysler,5,2.25,Naturally Aspirated,Gas,SOHC
158,jeep,7,2.8000000000000003,Naturally Aspirated,Gas,DOHC
159,volkswagen,5,2.0,Naturally Aspirated,Diesel,DOHC
160,aston-martin,4,2.2,Forced Induction,Hybrid,SOHC
161,kia,9,4.5,Naturally Aspirated,Hybrid,DOHC
162,kia,7,2.8000000000000003,Naturally Aspirated,Diesel,SOHC
163,honda,3,1.2000000000000002,Naturally Aspirated,Hybrid,SOHC
164,pontiac,8,3.2,Forced Induction,Hybrid,OHV
165,ram,6,3.0,Naturally Aspirated,Hybrid,SOHC
166,mitsubishi,10,4.0,Naturally Aspirated,Hybrid,SOHC
167,mercedes-benz,5,2.25,Naturally Aspirated,Gas,OHV
168,audi,7,2.8000000000000003,Forced Induction,Diesel,OHV
169,acura,3,1.35,Naturally Aspirated,Diesel,SOHC
170,pontiac,11,5.5,Naturally Aspirated,Hybrid,SOHC
171,gmc,11,6.050000000000001,Forced Induction,Gas,SOHC
172,gmc,4,1.6,Forced Induction,Diesel,SOHC
173,cadillac,9,4.05,Forced Induction,Hybrid,OHV
174,rover,10,5.5,Forced Induction,Diesel,SOHC
175,harley-davidson,8,4.4,Naturally Aspirated,Gas,SOHC
176,jeep,5,2.0,Naturally Aspirated,Diesel,DOHC
177,saturn,8,3.6,Forced Induction,Diesel,DOHC
178,jaguar,10,4.5,Forced Induction,Hybrid,SOHC
179,audi,6,2.7,Naturally Aspirated,Hybrid,DOHC
180,cadillac,12,6.6000000000000005,Naturally Aspirated,Gas,DOHC
181,infiniti,8,4.0,Forced Induction,Hybrid,OHV
182,mitsubishi,9,4.95,Naturally Aspirated,Gas,OHV
183,ram,4,1.8,Naturally Aspirated,Hybrid,SOHC
184,saturn,5,2.0,Forced Induction,Gas,OHV
185,ford,4,2.0,Forced Induction,Diesel,SOHC
186,tesla,6,2.4000000000000004,Forced Induction,Diesel,SOHC
187,datsun,8,4.4,Forced Induction,Diesel,OHV
188,volkswagen,11,6.050000000000001,Forced Induction,Diesel,SOHC
189,saturn,11,4.95,Naturally Aspirated,Hybrid,OHV
190,porsche,9,4.5,Naturally Aspirated,Hybrid,SOHC
191,lexus,3,1.6500000000000001,Naturally Aspirated,Diesel,DOHC
192,toyota,6,3.0,Naturally Aspirated,Diesel,SOHC
193,rover,5,2.0,Forced Induction,Gas,SOHC
194,mitsubishi,7,2.8000000000000003,Naturally Aspirated,Diesel,DOHC
195,honda,6,3.0,Forced Induction,Diesel,DOHC
196,mini,9,4.5,Naturally Aspirated,Diesel,DOHC
197,saturn,6,3.3000000000000003,Naturally Aspirated,Gas,DOHC
198,land rover,12,6.0,Forced Induction,Gas,OHV
199,saturn,9,4.95,Forced Induction,Diesel,SOHC
200,aston-martin,8,4.4,Forced Induction,Hybrid,SOHC
201,jaguar,12,5.4,Forced Induction,Hybrid,DOHC
202,mercury,12,6.0,Forced Induction,Gas,SOHC
203,mercedes-benz,7,3.15,Naturally Aspirated,Gas,OHV
204,lincoln,9,4.5,Forced Induction,Diesel,SOHC
205,chrysler,3,1.2000000000000002,Forced Induction,Hybrid,DOHC
206,aston-martin,11,4.4,Forced Induction,Diesel,DOHC
207,bmw,11,6.050000000000001,Naturally Aspirated,Gas,DOHC
208,dodge,8,3.6,Forced Induction,Gas,DOHC
209,mazda,10,5.5,Forced Induction,Gas,OHV
210,subaru,6,2.7,Forced Induction,Hybrid,DOHC
211,aston-martin,7,3.8500000000000005,Naturally Aspirated,Diesel,DOHC
212,honda,8,4.4,Forced Induction,Hybrid,DOHC
213,jaguar,7,3.8500000000000005,Naturally Aspirated,Gas,SOHC
214,mitsubishi,12,4.800000000000001,Naturally Aspirated,Hybrid,SOHC
215,audi,12,6.0,Forced Induction,Diesel,DOHC
216,cadillac,6,2.4000000000000004,Naturally Aspirated,Gas,OHV
217,porsche,3,1.5,Forced Induction,Gas,SOHC
218,buick,6,3.0,Forced Induction,Diesel,SOHC
219,harley-davidson,4,2.0,Naturally Aspirated,Hybrid,DOHC
220,cadillac,10,5.0,Naturally Aspirated,Hybrid,DOHC
221,mitsubishi,7,3.5,Naturally Aspirated,Diesel,SOHC
222,subaru,6,2.4000000000000004,Naturally Aspirated,Diesel,DOHC
223,subaru,12,6.0,Forced Induction,Gas,SOHC
224,dodge,11,5.5,Naturally Aspirated,Diesel,DOHC
225,ferrari,11,4.95,Forced Induction,Diesel,DOHC
226,toyota,4,2.2,Forced Induction,Diesel,DOHC
227,mercury,9,4.95,Naturally Aspirated,Diesel,SOHC
228,toyota,10,4.0,Forced Induction,Hybrid,DOHC
229,harley-davidson,11,4.95,Forced Induction,Diesel,DOHC
230,bmw,6,3.3000000000000003,Forced Induction,Diesel,DOHC
231,jeep,6,2.4000000000000004,Forced Induction,Hybrid,SOHC
232,mercedes-benz,8,4.0,Naturally Aspirated,Hybrid,DOHC
233,ford,3,1.5,Naturally Aspirated,Gas,DOHC
234,pontiac,7,2.8000000000000003,Forced Induction,Gas,OHV
235,nissan,6,2.4000000000000004,Naturally Aspirated,Gas,DOHC
236,jaguar,11,4.95,Naturally Aspirated,Gas,SOHC
237,honda,9,4.95,Naturally Aspirated,Hybrid,DOHC
238,ford,3,1.2000000000000002,Naturally Aspirated,Hybrid,OHV
239,mini,4,1.8,Forced Induction,Diesel,DOHC
240,subaru,9,4.5,Forced Induction,Hybrid,DOHC
241,land rover,5,2.0,Naturally Aspirated,Gas,OHV
242,volkswagen,8,4.0,Naturally Aspirated,Hybrid,DOHC
243,tesla,7,3.8500000000000005,Naturally Aspirated,Hybrid,OHV
244,aston-martin,4,2.0,Naturally Aspirated,Hybrid,SOHC
245,pontiac,4,2.2,Naturally Aspirated,Hybrid,OHV
246,buick,3,1.35,Naturally Aspirated,Diesel,OHV
247,subaru,12,5.4,Naturally Aspirated,Hybrid,DOHC
248,cadillac,7,3.8500000000000005,Forced Induction,Hybrid,OHV
249,bmw,10,5.5,Forced Induction,Diesel,SOHC
250,subaru,12,5.4,Naturally Aspirated,Diesel,OHV
251,kia,4,2.2,Forced Induction,Diesel,DOHC
252,chevrolet,12,6.0,Naturally Aspirated,Diesel,DOHC
253,alfa-romeo,8,3.6,Naturally Aspirated,Gas,SOHC
254,harley-davidson,5,2.25,Forced Induction,Hybrid,SOHC
255,harley-davidson,4,1.6,Forced Induction,Hybrid,SOHC
256,lincoln,6,3.0,Naturally Aspirated,Gas,SOHC
257,alfa-romeo,6,2.7,Forced Induction,Gas,DOHC
258,audi,12,6.0,Forced Induction,Hybrid,DOHC
259,toyota,8,3.2,Forced Induction,Hybrid,OHV
260,hyundai,5,2.5,Naturally Aspirated,Diesel,SOHC
261,saturn,11,5.5,Naturally Aspirated,Diesel,DOHC
262,pontiac,9,3.6,Forced Induction,Gas,OHV
263,alfa-romeo,9,4.5,Forced Induction,Hybrid,OHV
264,harley-davidson,7,3.15,Naturally Aspirated,Gas,SOHC
265,mercedes-benz,9,3.6,Naturally Aspirated,Hybrid,DOHC
266,infiniti,9,3.6,Forced Induction,Diesel,SOHC
267,lincoln,5,2.75,Forced Induction,Diesel,DOHC
268,volvo,12,5.4,Forced Induction,Gas,DOHC
269,kia,10,4.0,Naturally Aspirated,Gas,OHV
270,volvo,8,4.4,Forced Induction,Gas,DOHC
271,mercedes-benz,5,2.0,Forced Induction,Hybrid,DOHC
272,fiat,12,4.800000000000001,Naturally Aspirated,Hybrid,OHV
273,mitsubishi,5,2.5,Forced Induction,Hybrid,SOHC
274,volkswagen,6,2.7,Forced Induction,Hybrid,DOHC
275,audi,7,2.8000000000000003,Forced Induction,Diesel,DOHC
276,lincoln,8,4.0,Forced Induction,Diesel,SOHC
277,toyota,9,3.6,Naturally Aspirated,Hybrid,OHV
278,honda,7,3.8500000000000005,Naturally Aspirated,Diesel,SOHC
279,lexus,4,1.6,Forced Induction,Gas,SOHC
280,subaru,6,2.7,Forced Induction,Gas,DOHC
281,alfa-romeo,7,3.5,Forced Induction,Diesel,OHV
282,nissan,9,4.5,Forced Induction,Gas,SOHC
283,subaru,4,2.0,Naturally Aspirated,Diesel,SOHC
284,mitsubishi,7,2.8000000000000003,Naturally Aspirated,Hybrid,OHV
285,honda,4,1.8,Forced Induction,Hybrid,OHV
286,hyundai,10,5.0,Forced Induction,Diesel,OHV
287,volvo,11,5.5,Forced Induction,Diesel,SOHC
288,cadillac,6,2.4000000000000004,Naturally Aspirated,Hybrid,OHV
289,honda,3,1.6500000000000001,Forced Induction,Diesel,OHV
290,datsun,9,3.6,Forced Induction,Diesel,OHV
291,rover,6,3.3000000000000003,Naturally Aspirated,Gas,SOHC
292,jeep,11,5.5,Naturally Aspirated,Diesel,OHV
293,volkswagen,10,5.5,Naturally Aspirated,Diesel,SOHC
294,harley-davidson,7,3.8500000000000005,Forced Induction,Gas,SOHC
295,subaru,11,4.4,Naturally Aspirated,Gas,DOHC
296,volvo,5,2.5,Forced Induction,Hybrid,OHV
297,mazda,10,4.5,Forced Induction,Diesel,OHV
298,toyota,5,2.25,Forced Induction,Hybrid,DOHC
299,toyota,10,5.0,Naturally Aspirated,Hybrid,SOHC
300,toyota,7,2.8000000000000003,Forced Induction,Diesel,SOHC
301,nissan,6,3.3000000000000003,Naturally Aspirated,Diesel,SOHC
302,audi,7,3.5,Naturally Aspirated,Hybrid,OHV
303,mini,10,4.0,Forced Induction,Hybrid,SOHC
304,chrysler,4,1.8,Naturally Aspirated,Gas,DOHC
305,alfa-romeo,8,3.2,Forced Induction,Gas,SOHC
306,mercury,10,5.5,Naturally Aspirated,Gas,OHV
307,infiniti,12,5.4,Forced Induction,Hybrid,DOHC
308,datsun,7,3.15,Forced Induction,Gas,OHV
309,audi,12,4.800000000000001,Naturally Aspirated,Diesel,SOHC
310,alfa-romeo,6,3.0,Naturally Aspirated,Hybrid,SOHC
311,ford,6,3.0,Naturally Aspirated,Gas,OHV
312,fiat,9,3.6,Naturally Aspirated,Gas,OHV
313,dodge,10,5.5,Forced Induction,Gas,OHV
314,gmc,9,4.95,Naturally Aspirated,Diesel,SOHC
315,dodge,12,6.6000000000000005,Forced Induction,Diesel,OHV
316,jaguar,4,1.6,Naturally Aspirated,Diesel,OHV
317,gmc,8,4.0,Forced Induction,Diesel,SOHC
318,saturn,9,4.05,Forced Induction,Diesel,SOHC
319,volkswagen,4,1.6,Forced Induction,Gas,OHV
320,alfa-romeo,11,5.5,Naturally Aspirated,Hybrid,SOHC
321,ram,3,1.6500000000000001,Forced Induction,Hybrid,OHV
322,alfa-romeo,11,4.4,Naturally Aspirated,Hybrid,SOHC
323,datsun,10,5.5,Naturally Aspirated,Diesel,SOHC
324,jeep,10,5.0,Naturally Aspirated,Gas,OHV
325,buick,9,3.6,Forced Induction,Gas,OHV
326,chrysler,6,3.3000000000000003,Forced Induction,Diesel,SOHC
327,tesla,4,1.6,Naturally Aspirated,Hybrid,OHV
328,buick,11,6.050000000000001,Naturally Aspirated,Gas,OHV
329,gmc,7,3.5,Forced Induction,Gas,SOHC
330,rover,10,5.5,Forced Induction,Hybrid,OHV
331,chevrolet,8,3.6,Forced Induction,Gas,OHV
332,cadillac,10,4.0,Naturally Aspirated,Hybrid,SOHC
333,honda,12,6.0,Naturally Aspirated,Diesel,DOHC
334,mitsubishi,8,3.6,Forced Induction,Hybrid,OHV
335,fiat,8,4.4,Naturally Aspirated,Gas,SOHC
336,alfa-romeo,11,4.4,Naturally Aspirated,Gas,SOHC
337,volkswagen,6,3.3000000000000003,Forced Induction,Hybrid,SOHC
338,ferrari,10,4.5,Forced Induction,Gas,OHV
339,lexus,7,3.8500000000000005,Forced Induction,Gas,DOHC
340,kia,9,3.6,Naturally Aspirated,Diesel,OHV
341,subaru,4,1.8,Naturally Aspirated,Gas,OHV
342,dodge,9,4.05,Naturally Aspirated,Diesel,SOHC
343,lincoln,12,6.6000000000000005,Naturally Aspirated,Hybrid,DOHC
344,gmc,11,6.050000000000001,Naturally Aspirated,Gas,DOHC
345,honda,12,5.4,Naturally Aspirated,Diesel,OHV
346,alfa-romeo,4,2.2,Naturally Aspirated,Gas,SOHC
347,gmc,5,2.75,Naturally Aspirated,Hybrid,SOHC
348,bmw,4,1.6,Naturally Aspirated,Gas,OHV
349,volvo,5,2.75,Forced Induction,Diesel,DOHC
350,dodge,6,2.4000000000000004,Forced Induction,Gas,DOHC
351,mini,7,3.8500000000000005,Forced Induction,Diesel,OHV
352,buick,6,2.4000000000000004,Forced Induction,Hybrid,SOHC
353,pontiac,5,2.25,Forced Induction,Gas,SOHC
354,ford,5,2.5,Forced Induction,Diesel,SOHC
355,chevrolet,7,3.15,Forced Induction,Hybrid,OHV
356,rover,12,5.4,Forced Induction,Diesel,DOHC
357,datsun,4,1.8,Forced Induction,Gas,OHV
358,gmc,8,4.0,Forced Induction,Diesel,OHV
359,bmw,12,4.800000000000001,Forced Induction,Gas,DOHC
360,jeep,3,1.35,Forced Induction,Diesel,SOHC
361,aston-martin,7,2.8000000000000003,Forced Induction,Diesel,SOHC
362,ram,3,1.35,Forced Induction,Diesel,DOHC
363,buick,7,3.8500000000000005,Naturally Aspirated,Hybrid,SOHC
364,audi,10,4.0,Forced Induction,Hybrid,DOHC
365,rover,7,3.15,Forced Induction,Gas,DOHC
366,jeep,4,2.2,Naturally Aspirated,Diesel,SOHC
367,bmw,12,5.4,Naturally Aspirated,Diesel,SOHC
368,mazda,5,2.25,Forced Induction,Hybrid,SOHC
369,datsun,3,1.35,Naturally Aspirated,Diesel,SOHC
370,ford,3,1.6500000000000001,Naturally Aspirated,Diesel,DOHC
371,saturn,7,3.8500000000000005,Naturally Aspirated,Hybrid,SOHC
372,ford,12,4.800000000000001,Naturally Aspirated,Gas,OHV
373,chevrolet,11,6.050000000000001,Forced Induction,Gas,OHV
374,mercury,9,3.6,Naturally Aspirated,Gas,SOHC
375,honda,4,1.8,Forced Induction,Hybrid,SOHC
376,infiniti,6,3.3000000000000003,Naturally Aspirated,Hybrid,DOHC
377,mercury,12,4.800000000000001,Naturally Aspirated,Diesel,OHV
378,aston-martin,10,4.5,Forced Induction,Hybrid,OHV
379,nissan,3,1.35,Naturally Aspirated,Gas,DOHC
380,mercedes-benz,3,1.35,Naturally Aspirated,Diesel,SOHC
381,kia,4,1.8,Naturally Aspirated,Diesel,OHV
382,subaru,8,4.4,Naturally Aspirated,Hybrid,SOHC
383,subaru,12,4.800000000000001,Forced Induction,Gas,DOHC
384,gmc,7,3.15,Forced Induction,Gas,DOHC
385,hyundai,10,4.0,Naturally Aspirated,Hybrid,OHV
386,aston-martin,6,2.7,Naturally Aspirated,Gas,DOHC
387,honda,5,2.75,Naturally Aspirated,Hybrid,OHV
388,chrysler,10,5.5,Naturally Aspirated,Diesel,SOHC
389,rover,3,1.6500000000000001,Forced Induction,Diesel,SOHC
390,lexus,6,3.0,Forced Induction,Gas,OHV
391,audi,4,1.8,Forced Induction,Diesel,DOHC
392,kia,7,2.8000000000000003,Forced Induction,Diesel,OHV
393,ford,8,3.6,Forced Induction,Hybrid,DOHC
394,cadillac,3,1.2000000000000002,Forced Induction,Gas,OHV
395,infiniti,8,3.6,Forced Induction,Hybrid,DOHC
396,tesla,4,1.6,Naturally Aspirated,Gas,SOHC
397,tesla,7,3.15,Forced Induction,Hybrid,SOHC
398,chevrolet,12,4.800000000000001,Forced Induction,Gas,DOHC
399,audi,7,3.5,Forced Induction,Hybrid,DOHC
400,subaru,10,5.0,Naturally Aspirated,Diesel,SOHC
401,chevrolet,11,6.050000000000001,Forced Induction,Gas,SOHC
402,ram,11,4.95,Naturally Aspirated,Hybrid,DOHC
403,nissan,9,4.95,Forced Induction,Gas,SOHC
404,ram,9,4.05,Naturally Aspirated,Gas,DOHC
405,ram,3,1.2000000000000002,Naturally Aspirated,Gas,OHV
406,ferrari,11,4.95,Naturally Aspirated,Gas,SOHC
407,mercury,10,4.0,Forced Induction,Gas,SOHC
408,honda,4,1.8,Naturally Aspirated,Diesel,OHV
409,hyundai,5,2.75,Forced Induction,Diesel,DOHC
410,saturn,12,5.4,Naturally Aspirated,Hybrid,OHV
411,mercedes-benz,7,3.8500000000000005,Naturally Aspirated,Diesel,SOHC
412,fiat,5,2.0,Forced Induction,Gas,DOHC
413,buick,5,2.0,Naturally Aspirated,Gas,DOHC
414,ford,12,4.800000000000001,Naturally Aspirated,Hybrid,OHV
415,kia,7,3.5,Forced Induction,Hybrid,DOHC
416,saturn,12,4.800000000000001,Forced Induction,Diesel,SOHC
417,mercury,12,6.6000000000000005,Naturally Aspirated,Diesel,OHV
418,rover,6,3.0,Forced Induction,Hybrid,SOHC
419,land rover,9,3.6,Forced Induction,Diesel,SOHC
420,datsun,3,1.6500000000000001,Forced Induction,Diesel,OHV
421,mazda,12,6.0,Forced Induction,Hybrid,DOHC
422,alfa-romeo,10,4.5,Naturally Aspirated,Diesel,OHV
423,audi,9,4.95,Naturally Aspirated,Gas,OHV
424,ram,11,5.5,Forced Induction,Hybrid,SOHC
425,dodge,4,1.8,Naturally Aspirated,Gas,OHV
426,chrysler,6,3.0,Forced Induction,Gas,SOHC
427,kia,7,3.5,Naturally Aspirated,Diesel,SOHC
428,pontiac,10,4.5,Forced Induction,Gas,SOHC
429,lincoln,3,1.6500000000000001,Forced Induction,Hybrid,SOHC
430,nissan,12,6.6000000000000005,Naturally Aspirated,Diesel,OHV
431,tesla,12,5.4,Naturally Aspirated,Gas,SOHC
432,toyota,3,1.6500000000000001,Forced Induction,Diesel,OHV
433,lincoln,9,4.5,Naturally Aspirated,Hybrid,DOHC
434,fiat,8,3.6,Forced Induction,Hybrid,OHV
435,lexus,8,4.0,Naturally Aspirated,Gas,OHV
436,audi,5,2.5,Forced Induction,Hybrid,OHV
437,chevrolet,5,2.5,Forced Induction,Hybrid,OHV
