carid,make,model,year,transmissionid,engineid
43,toyota,tacoma access cab pickup,2012.0,18,20
44,chevrolet,silverado 1500 crew,2014.0,20,19
45,jeep,wrangler unlimited sahara,2017.0,19,18
46,dodge,charger rt 4dr sedan,2017.0,17,3
47,honda,civic si coupe 2d,2020.0,18,10
48,honda,civic lx sedan 4d,2018.0,7,8
49,ford,expedition xlt sport,2017.0,3,10
50,honda,civic ex sedan 4d,2018.0,11,7
51,ford,f150 super cab xl pickup 4d,2013.0,1,13
52,toyota,tacoma double cab pickup,2012.0,7,20
53,ford,f150 supercrew cab xl,2019.0,5,1
54,lexus,nx 300h sport utility 4d,2015.0,6,5
55,jaguar,e-pace p250 s sport,2018.0,18,10
56,buick,encore gx essence sport,2020.0,1,8
57,lexus,nx 300 sport utility 4d,2020.0,12,20
58,chrysler,town & country,2004.0,17,16
59,volvo,s60 t5 cross country,2016.0,2,6
60,volvo,s60 t6 inscription sedan,2019.0,9,9
61,volvo,s60 t5 momentum sedan 4d,2020.0,12,16
62,volvo,s60 t5 momentum sedan 4d,2019.0,7,9
63,audi,q5 premium sport utility 4d,2018.0,16,18
64,infiniti,qx60 3.5 sport utility,2015.0,18,11
65,lincoln,continental select sedan,2017.0,14,14
66,alfa-romeo,romeo stelvio ti sport,2018.0,7,9
67,subaru,impreza,2006.0,14,3
68,acura,mdx sport utility 4d,2013.0,6,13
69,audi,a6 2.0t premium sedan 4d,2018.0,19,2
70,hyundai,sonata sport sedan 4d,2015.0,5,6
71,ram,1500 crew cab tradesman,2017.0,8,11
72,gmc,sierra 1500 limited double,2019.0,10,20
73,ford,f250 super duty regular cab,2019.0,9,16
74,jeep,wrangler unlimited willys,2018.0,4,16
75,jeep,wrangler unlimited sahara,2019.0,17,11
76,jeep,wrangler unlimited rubicon,2017.0,3,8
77,jeep,wrangler unlimited all new,2018.0,3,3
78,chrysler,town & country,2003.0,7,4
79,gmc,acadia sle-2 sport utility,2018.0,7,19
80,lincoln,mkz sedan 4d,2013.0,2,8
81,gmc,acadia slt-1 sport utility,2017.0,11,10
82,lincoln,mkz premiere sedan 4d,2017.0,13,12
83,lexus,nx 200t sport utility 4d,2015.0,4,14
84,lexus,nx 200t sport utility 4d,2016.0,15,6
85,buick,encore gx select sport,2020.0,5,12
86,jaguar,e-pace p250 se sport,2018.0,7,11
87,toyota,fj cruiser,2008.0,4,3
88,mercedes-benz,e320 cdi,2007.0,7,19
89,volvo,s60 t5 inscription sedan,2018.0,2,1
90,volvo,s60 t6 r-design sedan 4d,2019.0,13,20
91,chevrolet,express cargo van,2018.0,9,4
92,chevrolet,express cargo van,2019.0,7,10
93,infiniti,qx60 luxe sport utility,2020.0,19,13
94,alfa-romeo,romeo stelvio ti sport suv,2018.0,0,13
95,hyundai,sonata sel sedan 4d,2018.0,0,18
96,audi,a6 2.0t premium plus sedan,2018.0,6,12
97,acura,mdx sh-awd sport utility,2020.0,20,16
98,jeep,grand cherokee laredo,2006.0,8,5
99,jeep,wrangler sport suv 2d,2019.0,8,14
100,jeep,wrangler unlimited sport,2012.0,18,6
101,toyota,camry le sedan 4d,2017.0,9,7
102,ram,1500 crew cab laramie pickup,2017.0,13,11
103,bmw,1 series 128i coupe 2d,2012.0,4,14
104,chrysler,300 limited sedan 4d,2018.0,11,14
105,mitsubishi,outlander sport es,2020.0,18,17
106,nissan,sentra s sedan 4d,2013.0,14,4
107,gmc,acadia denali sport utility,2020.0,10,14
108,gmc,acadia slt sport utility 4d,2020.0,1,18
109,lincoln,mkz select sedan 4d,2018.0,5,2
110,jaguar,e-pace p300 r-dynamic se,2020.0,6,12
111,subaru,forester,2017.0,8,7
112,acura,tlx,2018.0,12,0
113,volvo,s60 t5 premier sedan 4d,2015.0,0,20
114,volvo,s60 t6 r-design sedan 4d,2020.0,1,12
115,volvo,s60 t6 inscription sedan,2020.0,3,6
116,volvo,s60 t8 r-design sedan 4d,2019.0,17,6
117,lincoln,continental select sedan,2018.0,16,6
118,alfa-romeo,romeo stelvio sport suv 4d,2018.0,15,7
119,infiniti,qx60 3.5 sport utility,2018.0,16,12
120,audi,q5 45 tfsi premium plus,2020.0,11,1
121,toyota,tacoma 4x4,2012.0,6,3
122,toyota,tacoma,2011.0,0,10
123,bmw,z4,2005.0,14,14
124,ford,f150 lariat supercrew 4x4,2010.0,6,13
125,volkswagen,jetta sel,2011.0,13,5
126,ford,ranger xlt,2008.0,8,11
127,toyota,tacoma double cab,2007.0,9,0
128,ford,f150 supercrew cab xlt,2014.0,0,4
129,honda,crv ex,2011.0,20,9
130,mazda,mx-5 miata touring,2007.0,3,9
131,mazda,mx-5 miata grand touring,2011.0,11,15
132,porsche,boxster,2009.0,3,16
133,mazda,miata,2008.0,19,20
134,lexus,rx350,2009.0,12,17
135,lexus,gx470,2006.0,3,3
136,toyota,rav4,1998.0,10,12
137,ford,thunderbird,2002.0,4,6
138,ford,mustang,2008.0,12,12
139,nissan,titan single cab sv,2017.0,13,4
140,nissan,sentra,2007.0,5,15
141,nissan,sentra,2015.0,0,16
142,kia,spectra ex,2008.0,7,18
143,ford,f150,1998.0,0,16
144,dodge,charger limousine,2012.0,9,14
145,ford,focus,2005.0,12,11
146,ford,windstar,1999.0,1,11
147,ford,sport trac,2002.0,9,18
148,nissan,altima,2018.0,13,4
149,nissan,frontier,2018.0,6,11
150,toyota,tacoma,2021.0,18,12
151,buick,enclave,2015.0,7,19
152,gmc,sierra 3500,2019.0,13,15
153,honda,ridgeline,2009.0,6,15
154,ford,f150,1997.0,10,8
155,chevrolet,malibu classic,1976.0,12,19
156,toyota,camry,2003.0,9,19
157,mercedes-benz,benz,1969.0,19,17
158,bmw,5 series,2016.0,13,8
159,kia,optima,2013.0,15,10
160,chevrolet,silverado 2500,2008.0,2,1
161,buick,lacrosse,2006.0,10,19
162,toyota,echo,2002.0,9,5
163,hyundai,elantra,2009.0,0,17
164,chevrolet,blazer,2004.0,8,2
165,nissan,versa,2009.0,15,4
166,bmw,525i,1995.0,6,4
167,gmc,yukon xl,2008.0,4,18
168,ford,c-max hybrid se wagon 4d,2017.0,10,1
169,honda,accord,2008.0,2,1
170,chevrolet,silverado 1500 ltz crew cab 4wd,2011.0,5,1
171,chevrolet,silverado 1500 lt crew cab 4wd,2015.0,7,2
172,chevrolet,silverado 1500 2lt crew cab long box 4wd,2014.0,3,2
173,ford,f-150,1978.0,17,14
174,ford,f750,2005.0,19,9
175,gmc,canyon extended cab pickup,2018.0,4,2
176,mercedes-benz,ml350,2011.0,18,1
177,chrysler,300m,1999.0,18,13
178,ford,f100,1954.0,17,12
179,ford,f-150,2017.0,19,12
180,ford,escape,2011.0,3,20
181,chevrolet,malibu,1979.0,20,16
182,infiniti,g35 sedan,2003.0,18,11
183,chevrolet,silverado 1500,2019.0,13,5
184,chevrolet,monte carlo,1970.0,7,10
185,jeep,grand cherokee laredo,2009.0,2,5
186,chevrolet,silverado 2500hd 4x4,2017.0,10,18
187,mercedes-benz,1929 ssk replica,1974.0,16,15
188,chevrolet,tahoe,1996.0,16,18
189,toyota,corolla,2020.0,7,5
190,kia,soul,2018.0,7,4
191,ford,f-150,2018.0,14,12
192,nissan,kicks,2020.0,8,11
193,chevrolet,corvette convertible,2010.0,19,15
194,kia,sorento,2017.0,11,0
195,nissan,pathfinder,2007.0,3,0
196,volkswagen,passat tdi,2015.0,7,20
197,porsche,cayman,2008.0,19,1
198,mercedes-benz,s-class,2015.0,13,18
199,mercedes-benz,clk320,2004.0,16,19
200,chevrolet,silverado,2017.0,10,18
201,cadillac,srx,2004.0,16,2
202,ford,taurus,2015.0,8,5
203,nissan,altima,2011.0,1,14
204,bmw,x3,2013.0,15,6
205,honda,accord ex-l,2005.0,3,6
206,mazda,miata mx-5,2008.0,12,6
207,cadillac,sts,2005.0,14,15
208,chevrolet,corvette,2000.0,2,19
209,chevrolet,bel air,1955.0,9,9
210,acura,tl,2005.0,2,4
211,toyota,camry,1996.0,20,10
212,nissan,murano,2006.0,5,7
213,ram,2500,2018.0,4,2
214,kia,sorento,2011.0,3,12
215,jeep,wrangler sport s utility 2d,2017.0,13,5
216,toyota,avalon,2008.0,18,13
217,honda,odyssey ex,2013.0,14,17
218,buick,lesabre,2000.0,15,14
219,ford,edge,2007.0,17,5
220,ford,f-350,2015.0,15,2
221,ram,1500,2018.0,8,1
222,gmc,terrain,2010.0,7,19
223,ford,f250 xl,2014.0,14,8
224,chevrolet,captiva sport,2013.0,1,12
225,kia,forte koup ex coupe 2d,2016.0,15,1
226,chevrolet,cobalt,2010.0,3,11
227,buick,enclave,2008.0,16,7
228,dodge,grand caravan,2013.0,1,12
229,mercedes-benz,m-class,2014.0,20,8
230,nissan,murano,2011.0,14,0
231,nissan,rogue sport,2019.0,3,16
232,nissan,altima,2020.0,20,9
233,infiniti,qx30,2019.0,15,8
234,nissan,pathfinder,2018.0,0,2
235,subaru,legacy 2.5i premium sedan,2017.0,8,7
236,ram,2500,2011.0,2,5
237,gmc,terrain,2015.0,2,20
238,mercedes-benz,cls,2014.0,5,0
239,mercedes-benz,e-class,2018.0,20,14
240,chevrolet,corvette,1991.0,4,11
241,jeep,grand cherokee,1999.0,9,3
242,chevrolet,cavalier,2003.0,12,3
243,toyota,camry,2005.0,2,2
244,ford,expedition el,2017.0,13,18
245,kia,soul,2011.0,8,11
246,volvo,s60,2009.0,9,8
247,jeep,grand cherokee,2011.0,14,1
248,toyota,4runner limited,2001.0,16,6
249,chevrolet,traverse,2010.0,6,7
250,dodge,charger,2010.0,20,13
251,ford,mustang gt premium coupe 2d,2020.0,10,7
252,honda,pilot lx sport utility 4d,2017.0,7,9
253,buick,regal sportback preferred,2018.0,0,17
254,hyundai,sonata plug-in hybrid,2017.0,10,15
255,nissan,pathfinder,2006.0,11,16
256,hyundai,elantra touring,2010.0,18,9
257,kia,forte,2015.0,10,11
258,infiniti,jx35,2013.0,18,18
259,ram,3500,2008.0,13,13
260,buick,lesabre,1997.0,1,6
261,gmc,yukon xl denali,2007.0,1,20
262,toyota,tacoma 4x4,2009.0,1,4
263,jeep,grand cherokee,2012.0,19,20
264,kia,sportage,2013.0,16,7
265,ford,mustang,2012.0,6,2
266,jeep,cherokee,1998.0,4,8
267,ford,f-150,2011.0,5,17
268,mercedes-benz,benz,1972.0,15,16
269,toyota,tundra,2019.0,7,6
270,hyundai,accent,2009.0,13,10
271,chrysler,300,2012.0,10,3
272,chevrolet,impala,2005.0,3,0
273,nissan,altima 3.5 sl,2005.0,8,1
274,toyota,tacoma,2016.0,7,12
275,ferrari,360 modena,2001.0,16,7
276,mini,cooper,2017.0,2,15
277,toyota,4runner,2012.0,4,5
278,toyota,4runner sport edition,2007.0,12,3
279,ford,f250 super duty,2011.0,10,17
280,ford,crown vic,2001.0,4,17
281,pontiac,grand prix,2006.0,12,18
282,acura,mdx,2011.0,0,2
283,mercedes-benz,benz c350,2008.0,12,5
284,dodge,durango,2003.0,3,10
285,nissan,pathfinder,2013.0,8,12
286,kia,soul,2012.0,6,12
287,ford,taurus,2006.0,1,5
288,ford,f250 super duty,2012.0,19,14
289,chevrolet,silverado 2500 z71 4x4,2017.0,17,8
290,ram,3500 laramie 4x4,2016.0,6,14
291,lexus,rx350,2007.0,17,19
292,chevrolet,tahoe,2021.0,4,3
293,audi,q7,2017.0,12,7
294,chevrolet,trax,2019.0,9,2
295,chevrolet,hhr,2010.0,16,8
296,dodge,charger,2017.0,8,12
297,mitsubishi,eclipse,2007.0,8,12
298,honda,accord sedan,2006.0,18,9
299,toyota,prius,2013.0,7,18
300,nissan,370z nismo coupe 2d,2019.0,3,17
301,ford,escape,2013.0,1,20
302,toyota,camry,2002.0,5,0
303,ford,taurus,2007.0,14,4
304,toyota,camry,2013.0,7,4
305,infiniti,q50,2018.0,11,11
306,nissan,altima,2008.0,20,14
307,bmw,x6,2012.0,18,10
308,chevrolet,s10 pickup,1988.0,1,7
309,nissan,versa,2020.0,8,8
310,nissan,frontier,2020.0,12,16
311,nissan,murano,2019.0,20,8
312,toyota,venza,2009.0,11,7
313,dodge,challenger r/t scat pack,2016.0,13,0
314,ram,1500 quad cab big horn,2018.0,6,4
315,ford,f-250 super duty,2012.0,6,0
316,volkswagen,passat tdi sel,2013.0,6,5
317,ford,explorer xlt,2016.0,6,15
318,ford,explorer xlt,2017.0,2,14
319,volkswagen,jetta tdi,2014.0,14,15
320,ford,f450,1994.0,11,1
321,chevrolet,silverado 1500,2016.0,1,3
322,jeep,wrangler unlimited,2016.0,14,6
323,toyota,4runner sr5 sport utility,2018.0,11,7
324,nissan,frontier king cab sv,2017.0,6,10
325,subaru,xv crosstrek premium,2013.0,15,19
326,nissan,frontier crew cab pro-4x,2017.0,2,9
327,buick,regal premium ii sedan 4d,2017.0,3,2
328,toyota,camry l sedan 4d,2019.0,9,11
329,dodge,charger,2016.0,4,16
330,toyota,solara,2005.0,6,19
331,acura,mdx,2005.0,5,0
332,chevrolet,tahoe,2017.0,20,9
333,infiniti,ex35,2008.0,1,20
334,toyota,prius v hybrid,2014.0,10,1
335,nissan,rogue sv,2014.0,9,20
336,jeep,liberty,2006.0,15,20
337,chevrolet,trailblazer,2006.0,18,3
338,toyota,tundra,2010.0,2,20
339,chevrolet,tahoe,2007.0,5,11
340,ram,promaster 1500 cargo van,2017.0,8,8
341,volkswagen,jetta,2010.0,6,8
342,subaru,baja,2004.0,9,19
343,chevrolet,malibu,2018.0,1,2
344,dodge,charger,2020.0,9,19
345,nissan,titan xd,2021.0,9,14
346,volkswagen,jetta,2011.0,8,4
347,chevrolet,silverado 2500hd,2013.0,15,17
348,mercedes-benz,c-class,2015.0,11,14
349,ford,bronco ii,1988.0,5,8
350,chevrolet,silverado 2500 hd ltz,2018.0,14,17
351,kia,sorento lx,2014.0,6,10
352,ford,f150 regular cab xl,2019.0,16,13
353,nissan,murano,2020.0,16,11
354,infiniti,q50,2020.0,2,2
355,toyota,corolla,2021.0,15,16
356,toyota,fj cruiser 4x4,2008.0,5,5
357,mercedes-benz,benz ml 450,2015.0,14,12
358,gmc,1500 yukon slt,2015.0,19,9
359,ford,explorer sport trac,2010.0,16,15
360,mercedes-benz,s-class,2017.0,12,4
361,pontiac,firebird,1968.0,9,19
362,ford,fiesta se,2011.0,12,10
363,pontiac,grand am gt 1,2002.0,16,20
364,chevrolet,silverado 2500hd,2017.0,8,11
365,nissan,titan xd cummins platinum,2016.0,9,4
366,chevrolet,corvette stingray spor,2021.0,15,9
367,pontiac,firebird trans am ws6,1998.0,14,2
368,dodge,viper rt 10 removable top,1999.0,14,1
369,gmc,denali,2007.0,2,17
370,toyota,corolla,2019.0,4,8
371,toyota,camry,2012.0,7,18
372,toyota,tundra double cab,2016.0,13,19
373,toyota,camry,2007.0,10,4
374,acura,tsx,2006.0,15,10
375,nissan,pathfinder,2017.0,16,17
376,ford,f250 service,2011.0,9,1
377,toyota,corolla le,2015.0,6,17
378,gmc,sierra 1500,2014.0,11,14
379,gmc,sierra 1500,2017.0,7,18
380,gmc,sierra 2500hd denali,2014.0,3,3
381,lincoln,mkz,2015.0,10,17
382,ford,f-250 super duty xl,2008.0,10,3
383,bmw,328i,2011.0,2,3
384,bmw,x5,2009.0,4,20
385,honda,crv ex-l,2011.0,12,19
386,buick,enclave,2014.0,5,15
387,chevrolet,camaro,2015.0,13,8
388,honda,cr v,2018.0,3,5
389,honda,cr-v ex-l,2015.0,18,19
390,chevrolet,sonic,2014.0,13,10
391,infiniti,qx4,2000.0,1,1
392,lexus,ct200h hybrid,2013.0,18,10
393,toyota,camry,2018.0,13,16
394,lexus,rx,2011.0,14,15
395,ford,f150 xl,2008.0,12,11
396,ford,f250 super duty 4x4,2012.0,17,10
397,ford,f350 super duty,2017.0,8,4
398,gmc,sierra 2500hd,2015.0,12,1
399,mazda,mx-5 miata grand touring,2019.0,13,8
400,ford,f250 super duty 4x4,2015.0,14,4
401,ford,f350 super duty,2012.0,14,9
402,ford,f250 sd xlt,2017.0,10,19
403,chevrolet,express 3500,2008.0,7,8
404,jeep,grand cherokee laredo sport,2017.0,11,12
405,chrysler,200,2016.0,5,18
406,nissan,nv2500 hd cargo,2017.0,18,17
407,ford,f250 xl super duty,2012.0,7,5
408,ford,econoline commercial,2012.0,1,3
409,nissan,nv200,2015.0,6,11
410,ford,freestar ses,2005.0,6,18
411,chevrolet,silverado 3500hd,2013.0,17,11
412,chevrolet,camaro ss coupe 2d,2017.0,12,8
413,chevrolet,tahoe lt sport utility,2015.0,18,5
414,ford,e350 van,2001.0,8,8
415,ford,crown victoria,2011.0,1,1
416,jaguar,xj,2015.0,12,17
417,honda,civic del sol si,1995.0,6,19
418,gmc,terrain,2013.0,9,13
419,ford,f150,2017.0,2,16
420,jeep,wrangler,2016.0,3,14
421,toyota,highlander,2007.0,12,8
422,ram,3500 big horn,2018.0,6,18
423,ford,f-150,2006.0,14,0
424,chevrolet,silverado 2500hd,2012.0,14,15
425,ram,3500,2001.0,15,20
426,hyundai,accent,2010.0,1,6
427,jeep,wrangler,2009.0,4,16
428,ford,escape hev,2008.0,9,9
429,honda,accord crosstour exl,2010.0,2,17
430,fiat,500l lounge,2014.0,6,16
431,mercedes-benz,e-class,2008.0,19,20
432,nissan,sentra,2017.0,16,14
433,ford,f250 lariat,2003.0,3,13
434,ford,f-250,2016.0,1,12
435,ford,f-350,2012.0,11,14
436,ford,f150,2018.0,13,8
437,ford,f250,2018.0,2,16
438,volvo,s60,2012.0,2,6
439,ford,transit t250,2016.0,14,18
440,gmc,1500 yukon denali xl,2007.0,11,8
441,ford,f150,2019.0,18,2
442,infiniti,fx35,2008.0,14,16
443,kia,forte ex,2015.0,6,12
444,ram,2500 4x4,2014.0,1,2
445,ford,f550,2006.0,12,14
446,bmw,z4,2004.0,11,9
447,dodge,challenger rt plus,2017.0,15,8
448,gmc,sierra 2500 hd double cab,2016.0,14,2
449,kia,rio,2008.0,17,19
450,ram,1500 express,2014.0,13,5
451,acura,tl,2008.0,11,4
452,mazda,cx-5,2016.0,6,4
453,toyota,tacoma,2020.0,14,13
454,hyundai,elantra,2016.0,8,15
455,buick,verano,2014.0,0,18
456,chevrolet,silverado 3500hd,2014.0,13,5
457,acura,rl,2002.0,12,14
458,chevrolet,trailblazer,2002.0,11,17
459,honda,civic ex,2003.0,13,10
460,chevrolet,silverado,2012.0,15,13
461,mercedes-benz,glk,2015.0,13,0
462,hyundai,sonata,2013.0,12,11
463,kia,optima,2015.0,11,16
464,cadillac,escalade,2011.0,18,2
465,hyundai,sonata,2019.0,8,20
466,nissan,altima,2019.0,10,11
467,rover,lr4 hse,2013.0,17,18
468,chevrolet,colorado,2004.0,2,8
469,lexus,sc430,2008.0,4,10
470,lincoln,town car,1997.0,7,1
471,honda,accord sedan,1997.0,0,17
472,chevrolet,impala,2008.0,8,1
473,honda,element ex,2005.0,2,2
474,nissan,pathfinder,2020.0,7,3
475,jeep,cherokee sport,2001.0,8,10
476,ram,2500 mega cab 4x4,2008.0,9,3
477,ram,2500 slt 4x4,2014.0,6,7
478,ford,edge sel,2018.0,14,8
479,audi,a3 tdi premium plus,2011.0,14,13
480,chevrolet,silverado 3500 ltz 4x4,2018.0,10,19
481,ford,f150 lariat fx4 4x4,2017.0,16,0
482,chevrolet,silverado 2500 hd 4x4,2007.0,3,20
483,ram,3500 slt,2012.0,13,17
484,ford,f150 4x4 xlt,2014.0,10,9
485,ram,1500laramie 4x4,2014.0,4,15
486,honda,accord coupe,2010.0,0,11
487,gmc,yukon xl,2019.0,20,11
488,mercedes-benz,c-class,2017.0,10,0
489,chevrolet,silverado z71 4x4,2016.0,16,5
490,chevrolet,silverado z71 4x4 lt,2012.0,12,20
491,toyota,4runner sr5premium 4x4,2018.0,8,10
492,gmc,sierra 1500 double cab sle,2017.0,20,7
493,nissan,maxima,2020.0,14,3
494,ram,3500,2018.0,4,13
495,lincoln,town car,1979.0,10,9
496,ford,escape,2002.0,5,6
497,toyota,camry,2011.0,1,14
498,chevrolet,malibu,2008.0,12,3
499,ford,fusion,2010.0,4,3
500,jeep,patriot,2013.0,16,4
501,chrysler,300,2006.0,2,14
502,mercedes-benz,c-class,2008.0,15,17
503,toyota,prius,2007.0,13,7
504,nissan,xterra,2005.0,0,14
505,nissan,titan,2008.0,4,18
506,chevrolet,hhr lt,2008.0,19,6
507,dodge,durango,2005.0,12,10
508,ford,f150 supercrew cab xlt,2017.0,18,2
509,jeep,wrangler sport suv 2d,2017.0,18,7
510,audi,a4 ultra premium sedan 4d,2017.0,19,4
511,chevrolet,ss sedan,2014.0,1,3
512,hyundai,entourage,2007.0,12,1
513,gmc,sierra,1984.0,10,9
514,mazda,sx4 se,2013.0,17,15
515,infiniti,q60,2019.0,18,17
516,hyundai,veloster,2017.0,11,6
517,hyundai,ioniq hybrid,2019.0,17,3
518,chevrolet,suburban,2009.0,4,2
519,ford,fusion,2011.0,9,15
520,toyota,camry xle,2005.0,5,7
521,mini,cooper hardtop 2 door,2009.0,20,8
522,nissan,altima,2010.0,18,3
523,honda,odyssey,2006.0,10,13
524,ford,mustang gt coupe 2d,2018.0,18,11
525,kia,rio,2013.0,17,3
526,ford,crown victoria,2001.0,10,12
527,chrysler,pt cruiser,2007.0,15,11
528,ford,f-150,2012.0,7,14
529,lexus,es 330,2006.0,17,15
530,kia,sorento,2014.0,8,13
531,kia,optima,2016.0,14,10
532,chevrolet,suburban z71,2011.0,5,4
533,ford,freestyle,2006.0,19,1
534,ram,1500 crew cab big horn,2017.0,14,11
535,ford,mustang gt coupe 2d,2017.0,3,1
536,ford,super duty f-250 srw,2016.0,4,0
537,rover,sport,2017.0,2,20
538,infiniti,m35,2006.0,9,16
539,chevrolet,traverse,2014.0,17,19
540,jeep,gladiator,2020.0,4,1
541,nissan,frontier,2019.0,19,16
542,dodge,charger,2014.0,0,0
543,lexus,is,2011.0,5,1
544,ford,ranger,2011.0,13,2
545,ram,1500 crew cab big horn,2018.0,6,1
546,jeep,cj7,1984.0,11,16
547,lexus,lx 470,2001.0,11,19
548,chevrolet,silverado 1500,2020.0,3,13
549,ford,transit,2019.0,12,12
550,chevrolet,express,2013.0,6,17
551,gmc,savana,2019.0,2,19
552,ford,f-150,2019.0,9,10
553,ford,transit connect,2014.0,6,11
554,ford,transit 150,2017.0,9,5
555,ford,f-150,2001.0,13,11
556,infiniti,qx 50 luxe,2020.0,12,2
557,ram,1500,2016.0,4,17
558,chevrolet,impala,2000.0,0,20
559,nissan,pathfinder,2010.0,3,18
560,mercedes-benz,benz c300,2008.0,12,17
561,jeep,grand cherokee laredo,2011.0,5,10
562,hyundai,sonata gls,2013.0,14,14
563,gmc,yukon denali 4x4,2015.0,4,0
564,ford,e350,2013.0,5,13
565,honda,crosstour ex-l,2015.0,0,19
566,chevrolet,silverado 2500 lt 4x4,2007.0,3,5
567,jeep,wrangler,2007.0,3,13
568,chevrolet,silverado 1500 regular,2012.0,18,20
569,ford,f-150,2013.0,20,17
570,mazda,3i,2010.0,20,12
571,jeep,commander sport,2008.0,0,19
572,ram,1500 slt,2015.0,8,19
573,ram,1500 regular cab tradesman,2016.0,7,13
574,ford,super duty f-450 drw,2007.0,20,15
575,chevrolet,express commercial cutaway,2016.0,6,12
576,chevrolet,express cargo van,2006.0,6,0
577,ford,econoline cargo van,2008.0,4,2
578,chevrolet,4500 lcf gas,2016.0,20,19
579,ford,super duty f-550 drw,2014.0,7,3
580,ford,econoline commercial cutaway,2010.0,0,20
581,gmc,savana commercial cutaway,2017.0,18,15
582,chevrolet,3500 lcf gas,2009.0,11,2
583,ford,super duty f-250,2004.0,0,2
584,ford,super duty f-450 drw,2011.0,14,1
585,chevrolet,cc4500,2008.0,10,0
586,chevrolet,cc4500,2007.0,14,1
587,ford,econoline commercial cutaway,2005.0,12,12
588,ford,super duty f-250 srw,2015.0,5,5
589,ford,super duty f-550 drw,2015.0,9,4
590,mitsubishi,fuso fh211,1998.0,14,3
591,chevrolet,express commercial cutaway,2008.0,4,3
592,ford,transit cutaway,2015.0,6,11
593,mitsubishi,fuso fe145,2006.0,13,12
594,gmc,tc5500,2004.0,20,17
595,mitsubishi,fuso fe145,2008.0,1,14
596,ford,super duty f-250 srw,2012.0,20,6
597,ford,super duty f-350 srw,2008.0,20,6
598,ford,econoline commercial cutaway,2011.0,18,13
599,ram,4500,2016.0,11,17
600,ford,super duty f-550 drw,2012.0,17,2
601,ford,super duty f-550 drw,2016.0,11,17
602,ram,5500,2015.0,12,20
603,ford,econoline commercial cutaway,2014.0,4,12
604,ram,2500,2010.0,18,14
605,ford,super duty f-450 drw,2014.0,11,17
606,ford,f-750,2011.0,6,13
607,ford,econoline,2012.0,1,3
608,chevrolet,silverado 3500hd,2011.0,0,18
609,ford,super duty f-550 drw,2017.0,1,0
610,ford,super duty f-550 drw,2006.0,6,3
611,jeep,wrangler,1994.0,11,0
612,jeep,wrangler unlimited sahara,2007.0,7,4
613,bmw,z4 sdrive35is roadster 2d,2011.0,3,19
614,dodge,challenger,2009.0,4,18
615,ford,fusion,2018.0,10,14
616,jeep,wrangler,2013.0,13,16
617,infiniti,qx70,2017.0,12,19
618,mercedes-benz,m-class,2015.0,17,15
619,lexus,gx,2018.0,7,3
620,toyota,tacoma,2017.0,15,5
621,lincoln,mkc,2015.0,10,20
622,mitsubishi,lancer,2003.0,14,17
623,ram,1500 quad cab harvest pickup,2018.0,16,3
624,ford,edge,2008.0,14,19
625,chrysler,200,2015.0,11,17
626,chevrolet,sonic lt,2014.0,18,17
627,nissan,altima 2.5 s,2015.0,16,9
628,ford,f150,1994.0,15,16
